Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
AllgAdrAnsprechpartner;0;-1;1;1;DTOAnsprechpartnerAllgemeineAdresse;schild.katalog;Ansprechpartner-Daten die einem Betrieb/Adresse in K_AllgAdresse zugeordnet werden können
Benutzer;0;-1;1;1;DTOBenutzer;schild.benutzer;Die Benutzer, welchen sich am Server anmelden können (verweist auf allgemeine Benutzer, Lehrer bzw. Personal, Schüler und Erzieher). 
BenutzerAllgemein;0;-1;1;1;DTOBenutzerAllgemein;schild.benutzer;Die Definition von Benutzern, welchen sich am Server anmelden können, aber nicht als Lehrer bzw. Personal, Schüler oder Erzieher erfasst sind
BenutzerEmail;0;-1;1;1;DTOBenutzerMail;schild.benutzer;Die Informationen zu einem E-Mail-Zugang des Benutzers, damit Emails versendet werden können.
Benutzergruppen;0;-1;1;1;DTOBenutzergruppe;schild.benutzer;Die Definition von Benutzergruppen (Rollen). Diese dienen als Vorlage für die Rechtezuweisung an Benutzer.
BenutzergruppenKompetenzen;0;-1;1;1;DTOBenutzergruppenKompetenz;schild.benutzer;Die Kompetenzen, welche der Benutzergruppe - also der Vorlage - zugeordnet wurden.
BenutzergruppenMitglieder;0;-1;1;1;DTOBenutzergruppenMitglied;schild.benutzer;Die Zuordnung von Benutzern zu Benutzergruppen
BenutzerKompetenzen;0;-1;1;1;DTOBenutzerKompetenz;schild.benutzer;Die Kompetenzen, welchem dem Benutzer insgesamt zugeordnet wurden - über eien Gruppe oder individuell
Credentials;0;-1;1;1;DTOCredentials;svws.auth;Daten für die Zugänge zu SVWS internen Systemen für SingleSignOn-Lösungen
CredentialsLernplattformen;0;-1;1;1;DTOCredentialsLernplattformen;svws.auth;Daten für die Zugänge zu anderen Systemen (Lernplattformen)
EigeneSchule;0;-1;1;1;DTOEigeneSchule;schild.schule;Tabelle in der die Daten der Schule verwaltet werden, diese Tabelle darf in einer Einzelinstallation nur eine Zeile haben
EigeneSchule_Abt_Kl;0;-1;1;1;DTOAbteilungsKlassen;schild.schule;Tabelle ordnet den Abteilungen (EigeneSchule_Abteilungen) die zugehörigen Klassen zu
EigeneSchule_Abteilungen;0;-1;1;1;DTOAbteilungen;schild.schule;Katalog der Abteilungen, denen dann ein Abteilungsleiter zugewiesen werden kann. Die Tabelle wird schuljahresspezifisch verwaltet.  
EigeneSchule_Fachklassen;0;-1;1;1;DTOFachklassen;schild.berufskolleg;Berufskolleg: Tabelle der vorhandenen Fachklassen
EigeneSchule_FachTeilleistungen;0;-1;1;1;DTOFachTeilleistungsarten;schild.faecher;Teilleistungsarten, die einem Fach über die Vorlagen zugewiesen sind damit diese automatisch über den Gruppenprozess eingetragen werden können
EigeneSchule_Faecher;0;-1;1;1;DTOFach;schild.faecher;Tabelle der vorhandenen Unterrichtsfächer und deren Bezeichnungen/ Einstellungen
EigeneSchule_Jahrgaenge;0;-1;1;1;DTOJahrgang;schild.schule;vorhandene Jahrgänge mit deren ASD-Zuordnungen
EigeneSchule_KAoADaten;0;-1;1;1;DTOEigeneSchuleKAoADaten;schild.schule;TODO: Tabelle zur Eintragung, welche KAOA-Merkmale an der Schule genutzt wreden
EigeneSchule_Kursart;0;-1;1;1;DTOKursarten;schild.katalog;vorhandene Kursarten die dem Schüler zugewiesen werden können in den Leistungsdaten / Kursen
EigeneSchule_Merkmale;0;-1;1;1;DTOMerkmale;schild.schule;Katalog der Merkmale (Schule bearbeiten > Merkmale), die dem Schüler dann auf Individualdaten zugewiesen werden können (IT.NRW-Statistik)
EigeneSchule_Schulformen;0;-1;1;1;DTOSchulformen;schild.schule;Liste der Schulgliederungen (SGL) Schule bearbeiten > Kann dann den Schülern unter Indv-Daten I zugeordnet werden (IT.NRW)
EigeneSchule_Teilstandorte;0;-1;1;1;DTOTeilstandorte;schild.schule;Liste der Teilstandorte Schule bearbeiten > Teilstandorte > (It.NRW benutzt dieses Merkmal zu Bildung von Teilklassen in der sim.txt)
EigeneSchule_Texte;0;-1;1;1;DTOSchultexte;schild.schule;Texte, die unter Schule bearbeiten erstellt werden und in Reports abgerufen werden können.
