NameTabelle;NameSpalte;hatAutoIncrement
AllgAdrAnsprechpartner;ID;1
EigeneSchule;ID;0
EigeneSchule_Abt_Kl;ID;1
EigeneSchule_Abteilungen;ID;1
EigeneSchule_Fachklassen;ID;1
EigeneSchule_FachTeilleistungen;Fach_ID;0
EigeneSchule_FachTeilleistungen;Kursart;0
EigeneSchule_FachTeilleistungen;SchulNrEigner;0
EigeneSchule_FachTeilleistungen;Teilleistung_ID;0
EigeneSchule_Faecher;ID;1
EigeneSchule_Jahrgaenge;ID;1
EigeneSchule_KAoADaten;SchulNrEigner;0
EigeneSchule_Kursart;ID;1
EigeneSchule_Merkmale;ID;1
EigeneSchule_Schulformen;ID;1
EigeneSchule_Teilstandorte;AdrMerkmal;0
EigeneSchule_Texte;ID;0
EigeneSchule_Zertifikate;ID;1
Fach_Gliederungen;Fach_ID;0
Fach_Gliederungen;Fachklasse_ID;0
Fachklassen_Schwerpunkte;Fachklasse_ID;0
Fachklassen_Schwerpunkte;SchulNrEigner;0
Fachklassen_Schwerpunkte;Schwerpunkt_ID;0
Floskelgruppen;Kuerzel;0
Floskelgruppen;SchulNrEigner;0
Floskeln;Kuerzel;0
ImpExp_EigeneImporte;ID;0
ImpExp_EigeneImporte_Felder;Import_ID;0
ImpExp_EigeneImporte_Felder;Field_ID;0
ImpExp_EigeneImporte_Tabellen;Import_ID;0
ImpExp_EigeneImporte_Tabellen;TableName;0
K_Adressart;ID;1
K_AllgAdresse;ID;1
K_Ankreuzdaten;ID;1
K_Ankreuzfloskeln;ID;1
K_BeschaeftigungsArt;ID;1
K_Datenschutz;ID;1
K_EinschulungsArt;ID;1
K_Einzelleistungen;ID;1
K_EntlassGrund;ID;1
K_ErzieherArt;ID;1
K_ErzieherFunktion;ID;1
K_FahrschuelerArt;ID;1
K_Foerderschwerpunkt;ID;1
K_Haltestelle;ID;1
K_Kindergarten;ID;1
K_Lehrer;ID;1
K_Ort;ID;1
K_Ortsteil;ID;1
K_Religion;ID;1
K_Schule;ID;1
K_Schulfunktionen;ID;1
K_Schwerpunkt;ID;1
K_Sportbefreiung;ID;1
K_Staat;ID;1
K_TelefonArt;ID;1
K_Textdateien;ID;1
K_Verkehrssprachen;ID;1
K_Vermerkart;ID;1
K_Zertifikate;Kuerzel;0
K_Zertifikate;SchulNrEigner;0
Katalog_Aufsichtsbereich;ID;1
Katalog_Pausenzeiten;ID;1
Katalog_Raeume;ID;1
Katalog_Zeitraster;ID;1
