Fach;Bezeichnung;Fachgruppe_ID
A;Arabisch;3
A1;Arabisch, Beginn in Jahrgangsklasse 11;3
A5;Arabisch, Beginn in Jahrgangsklasse 5;3
A7;Arabisch, Beginn in Jahrgangsklasse 7;3
A8;Arabisch, Beginn in Jahrgangsklasse 8;3
A9;Arabisch, Beginn in Jahrgangsklasse 9;3
A0;Arabisch, Beginn in der Einführungsphase;3
AB;Arbeits- und Betriebswirtschaftslehre;2
AH;Arbeitslehre / Schwerpunkt Hauswirtschaft;2
AL;Arbeitslehre;2
AT;Arbeitslehre / Schwerpunkt Technik;2
AW;Arbeitslehre / Schwerpunkt Wirtschaft;2
BI;Biologie;10
C;Chinesisch;3
C1;Chinesisch, Beginn in Jahrgangsklasse 11;3
C5;Chinesisch, Beginn in Jahrgangsklasse 5;3
C7;Chinesisch, Beginn in Jahrgangsklasse 7;3
C8;Chinesisch, Beginn in Jahrgangsklasse 8;3
C9;Chinesisch, Beginn in Jahrgangsklasse 9;3
C0;Chinesisch, Beginn in der Einführungsphase;3
CH;Chemie;10
D;Deutsch;1
E;Englisch;3
E1;Englisch, Beginn in Jahrgangsklasse 11;3
E5;Englisch, Beginn in Jahrgangsklasse 5;3
E6;Englisch, Beginn in Jahrgangsklasse 6;3
E7;Englisch, Beginn in Jahrgangsklasse 7;3
E8;Englisch, Beginn in Jahrgangsklasse 8;3
E9;Englisch, Beginn in Jahrgangsklasse 9;3
E0;Englisch, Beginn in der Einführungsphase;3
EK;Erdkunde;6
EL;Ernährungslehre;11
ER;Evangelische Religionslehre;8
F;Französisch;3
F1;Französisch, Beginn in Jahrgangsklasse 11;3
F5;Französisch, Beginn in Jahrgangsklasse 5;3
F6;Französisch, Beginn in Jahrgangsklasse 6;3
F7;Französisch, Beginn in Jahrgangsklasse 7;3
F8;Französisch, Beginn in Jahrgangsklasse 8;3
F9;Französisch, Beginn in Jahrgangsklasse 9;3
F0;Französisch, Beginn in der Einführungsphase;3
G;Griechisch;3
G1;Griechisch, Beginn in Jahrgangsklasse 11;3
G5;Griechisch, Beginn in Jahrgangsklasse 5;3
G6;Griechisch, Beginn in Jahrgangsklasse 6;3
G7;Griechisch, Beginn in Jahrgangsklasse 7;3
G8;Griechisch, Beginn in Jahrgangsklasse 8;3
G9;Griechisch, Beginn in Jahrgangsklasse 9;3
G0;Griechisch, Beginn in der Einführungsphase;3
GE;Geschichte;6
GL;Gesellschaftslehre;6
GP;Geschichte / Politik;6
GW;Geschichte und Sozialwissenschaft;6
H;Hebräisch;3
H1;Hebräisch, Beginn in Jahrgangsklasse 11;3
H5;Hebräisch, Beginn in Jahrgangsklasse 5;3
H6;Hebräisch, Beginn in Jahrgangsklasse 6;3
H7;Hebräisch, Beginn in Jahrgangsklasse 7;3
H8;Hebräisch, Beginn in Jahrgangsklasse 8;3
H9;Hebräisch, Beginn in Jahrgangsklasse 9;3
H0;Hebräisch, Beginn in der Einführungsphase;3
HR;Jüdische Religionslehre;8
I;Italienisch;3
I1;Italienisch, Beginn in Jahrgangsklasse 11;3
I5;Italienisch, Beginn in Jahrgangsklasse 5;3
I6;Italienisch, Beginn in Jahrgangsklasse 6;3
I7;Italienisch, Beginn in Jahrgangsklasse 7;3
I8;Italienisch, Beginn in Jahrgangsklasse 8;3
I9;Italienisch, Beginn in Jahrgangsklasse 9;3
I0;Italienisch, Beginn in der Einführungsphase;3
IF;Informatik;11
IN;Instrumentalpraktischer Grundkurs;5
IS;Islamische Religionslehre;8
IV;Instrumentalpraktischer bzw. vokalpraktischer Grundkurs;5
K;Japanisch;3
K1;Japanisch, Beginn in Jahrgangsklasse 11;3
K5;Japanisch, Beginn in Jahrgangsklasse 5;3
K7;Japanisch, Beginn in Jahrgangsklasse 7;3
K8;Japanisch, Beginn in Jahrgangsklasse 8;3
K9;Japanisch, Beginn in Jahrgangsklasse 9;3
K0;Japanisch, Beginn in der Einführungsphase;3
KR;Katholische Religionslehre;8
KU;Kunst / Design, Kunst;4
L;Latein;3
L1;Lateinisch, Beginn in Jahrgangsklasse 11;3
L5;Lateinisch, Beginn in Jahrgangsklasse 5;3
L6;Lateinisch, Beginn in Jahrgangsklasse 6;3
L7;Lateinisch, Beginn in Jahrgangsklasse 7;3
L8;Lateinisch, Beginn in Jahrgangsklasse 8;3
L9;Lateinisch, Beginn in Jahrgangsklasse 9;3
L0;Lateinisch, Beginn in der Einführungsphase;3
LI;Literatur;5
M;Mathematik;9
MU;Musik/ Rhythmisch-musikalische Erziehung;4
N;Niederländisch;3
N1;Niederländisch, Beginn in Jahrgangsklasse 11;3
N5;Niederländisch, Beginn in Jahrgangsklasse 5;3
N6;Niederländisch, Beginn in Jahrgangsklasse 6;3
N7;Niederländisch, Beginn in Jahrgangsklasse 7;3
N8;Niederländisch, Beginn in Jahrgangsklasse 8;3
N9;Niederländisch, Beginn in Jahrgangsklasse 9;3
N0;Niederländisch, Beginn in der Einführungsphase;3
NW;Physik / Chemie;10
O;Portugiesisch;3
O1;Portugiesisch, Beginn in Jahrgangsklasse 11;3
O5;Portugiesisch, Beginn in Jahrgangsklasse 5;3
O6;Portugiesisch, Beginn in Jahrgangsklasse 6;3
O7;Portugiesisch, Beginn in Jahrgangsklasse 7;3
O8;Portugiesisch, Beginn in Jahrgangsklasse 8;3
O9;Portugiesisch, Beginn in Jahrgangsklasse 9;3
O0;Portugiesisch, Beginn in der Einführungsphase;3
OR;orthodoxe Religionslehre (Griechisch);8
P;Polnisch;3
P1;Polnisch, Beginn in Jahrgangsklasse 11;3
P5;Polnisch, Beginn in Jahrgangsklasse 5;3
P6;Polnisch, Beginn in Jahrgangsklasse 6;3
P7;Polnisch, Beginn in Jahrgangsklasse 7;3
P8;Polnisch, Beginn in Jahrgangsklasse 8;3
P9;Polnisch, Beginn in Jahrgangsklasse 9;3
P0;Polnisch, Beginn in der Einführungsphase;3
PA;Erziehungswissenschaft;6
PH;Physik;10
PK;Politik;6
PL;Philosophie;7
PS;Psychologie;6
PX;Projektfach;14
R;Russisch;3
R1;Russisch, Beginn in Jahrgangsklasse 11;3
R5;Russisch, Beginn in Jahrgangsklasse 5;3
R6;Russisch, Beginn in Jahrgangsklasse 6;3
R7;Russisch, Beginn in Jahrgangsklasse 7;3
R8;Russisch, Beginn in Jahrgangsklasse 8;3
R9;Russisch, Beginn in Jahrgangsklasse 9;3
R0;Russisch, Beginn in der Einführungsphase;3
RK;Rechtskunde;6
S;Spanisch;3
S1;Spanisch, Beginn in Jahrgangsklasse 11;3
S5;Spanisch, Beginn in Jahrgangsklasse 5;3
S6;Spanisch, Beginn in Jahrgangsklasse 6;3
S7;Spanisch, Beginn in Jahrgangsklasse 7;3
S8;Spanisch, Beginn in Jahrgangsklasse 8;3
S9;Spanisch, Beginn in Jahrgangsklasse 9;3
S0;Spanisch, Beginn in der Einführungsphase;3
SL;Soziologie;6
SP;Sport;12
S3;Sport für Jungen;12
S4;Sport für Mädchen;12
SW;Sozialwissenschaften;6
T;Türkisch;3
T1;Türkisch, Beginn in Jahrgangsklasse 11;3
T5;Türkisch, Beginn in Jahrgangsklasse 5;3
T6;Türkisch, Beginn in Jahrgangsklasse 6;3
T7;Türkisch, Beginn in Jahrgangsklasse 7;3
T8;Türkisch, Beginn in Jahrgangsklasse 8;3
T9;Türkisch, Beginn in Jahrgangsklasse 9;3
T0;Türkisch, Beginn in der Einführungsphase;3
TC;Technik;11
U;Rumänisch;3
U1;Rumänisch, Beginn in Jahrgangsklasse 11;3
U5;Rumänisch, Beginn in Jahrgangsklasse 5;3
U6;Rumänisch, Beginn in Jahrgangsklasse 6;3
U7;Rumänisch, Beginn in Jahrgangsklasse 7;3
U8;Rumänisch, Beginn in Jahrgangsklasse 8;3
U9;Rumänisch, Beginn in Jahrgangsklasse 9;3
U0;Rumänisch, Beginn in der Einführungsphase;3
VP;Volkswirtschaftslehre / Politik;6
VO;Vokalpraktischer Grundkurs;5
VW;Volkswirtschaftslehre;6
VX;Vertiefungsfach;13
W;Werken;4
WW;Wirtschaftslehre;6
YR;orthodoxe Religionslehre (Syrisch);8
Z;Neugriechisch;3
Z1;Neugriechisch, Beginn in Jahrgangsklasse 11;3
Z5;Neugriechisch, Beginn in Jahrgangsklasse 5;3
Z6;Neugriechisch, Beginn in Jahrgangsklasse 6;3
Z7;Neugriechisch, Beginn in Jahrgangsklasse 7;3
Z8;Neugriechisch, Beginn in Jahrgangsklasse 8;3
Z9;Neugriechisch, Beginn in Jahrgangsklasse 9;3
Z0;Neugriechisch, Beginn in der Einführungsphase;3
ZW;Zeichnen / Werken;4
