SNR;SGL;FSP;gueltigVon;gueltigBis
100010;G01;  ;;
100011;   ;EZ;;
100011;   ;LB;;
100011;   ;SB;;
100015;G8A;  ;;
100015;GY9;  ;;
100016;   ;LB;;
100016;   ;SB;;
100016;   ;EZ;;
100016;   ;GB;;
100018;   ;EZ;;
100018;   ;GB;;
100018;   ;LB;;
100019;SSI;  ;;
100019;   ;EZ;;
100019;   ;LB;;
100019;   ;SB;;
100021;   ;EZ;;
100021;   ;LB;;
100021;   ;SB;;
100021;SRH;  ;;
100022;HA ;  ;;
100022;RA ;  ;;
100022;ST ;  ;;
100022;ST ;EZ;;
100022;ST ;LB;;
100022;ST ;SB;;
100023;   ;EZ;;
100023;   ;LB;;
100023;   ;SB;;
100024;   ;LB;;
100024;   ;SB;;
100024;   ;EZ;;
100024;SRH;  ;;
100027;   ;EZ;;
100028;   ;LB;;
100028;   ;SB;;
100028;   ;EZ;;
100030;   ;LB;;
100036;   ;LB;;
100036;   ;SB;;
100036;   ;EZ;;
100036;   ;GB;;
100036;   ;KB;;
100036;   ;GH;;
100036;   ;SG;;
100036;   ;SH;;
100036;   ;BL;;
100040;GY9;  ;;
100040;G8A;  ;;
100041;   ;LB;;
100041;   ;SB;;
100041;   ;EZ;;
100041;   ;GB;;
100041;   ;KB;;
100041;   ;GH;;
100041;   ;SG;;
100041;   ;SH;;
100041;   ;BL;;
100042;   ;EZ;;
100042;   ;LB;;
100042;   ;SB;;
100044;   ;LB;;
100044;   ;SB;;
100044;   ;EZ;;
100046;ST ;LB;;
100046;ST ;SB;;
100046;ST ;EZ;;
100046;ST ;  ;;
100047;ST ;  ;;
100047;ST ;EZ;;
100047;ST ;LB;;
100047;ST ;SB;;
100048;GGS;  ;;
100051;SRH;  ;;
100051;   ;EZ;;
100051;   ;LB;;
100051;   ;SB;;
100052;SRH;  ;;
100052;   ;EZ;;
100052;   ;LB;;
100052;   ;SB;;
100053;ST ;EZ;;
100053;ST ;LB;;
100053;ST ;SB;;
100053;ST ;  ;;
100057;   ;KR;;
100058;G02;  ;;
100058;R02;  ;;
100062;   ;KR;;
100063;   ;EZ;;
100063;   ;LB;;
100063;   ;SB;;
100066;   ;EZ;;
100066;   ;SB;;
100066;   ;LB;;
100068;   ;LB;;
100068;   ;SB;;
100068;   ;EZ;;
100068;   ;KB;;
100068;   ;GH;;
100068;   ;SG;;
100068;   ;SH;;
100068;   ;BL;;
100069;   ;EZ;;
100069;   ;LB;;
100069;   ;SB;;
100071;   ;LB;;
100071;   ;SB;;
100071;   ;EZ;;
100071;   ;GB;;
100071;   ;KB;;
100071;   ;GH;;
100071;   ;SG;;
100071;   ;SH;;
100071;   ;BL;;
100074;   ;SB;;
100074;   ;LB;;
100075;   ;EZ;;
100081;   ;LB;;
100081;   ;EZ;;
101023;RKB;  ;;
102003;GMS;  ;;
103536;GMS;  ;;
105170;GMS;  ;;
106392;RKB;  ;;
106574;GMS;  ;;
106860;RKB;  ;;
107608;RKB;  ;;
107827;RKB;  ;;
108340;RKB;  ;;
108765;RKB;  ;;
109125;RKB;  ;;
109472;RKB;  ;;
110188;RKB;  ;;
110383;RKB;  ;;
111820;GMS;  ;;
112562;RKB;  ;;
112616;RKB;  ;;
113475;GMS;  ;;
114121;RKB;  ;;
114352;RKB;  ;;
114900;GMS;  ;;
114935;EVB;  ;;
114996;GMS;  ;;
116701;RKB;  ;;
116737;RKB;  ;;
117213;GMS;  ;;
117444;RKB;  ;;
117638;GMS;  ;;
117640;GMS;  ;;
117687;RKB;  ;;
117754;RKB;  ;;
117778;RKB;  ;;
117961;EVB;  ;;
118114;GMS;  ;;
118527;GMS;  ;;
120029;RKB;  ;;
120054;RKB;  ;;
121241;GMS;  ;;
122221;RKB;  ;;
122385;GMS;  ;;
122580;RKB;  ;;
122816;RKB;  ;;
123067;RKB;  ;;
123640;EVB;  ;;
124199;EVB;  ;;
126871;EVB;  ;;
127024;EVB;  ;;
127139;EVB;  ;;
127164;GMS;  ;;
127218;EVB;  ;;
127620;GMS;  ;;
127693;RKB;  ;;
128375;GMS;  ;;
128417;RKB;  ;;
130229;RKB;  ;;
131817;RKB;  ;;
132093;GMS;  ;;
132226;GMS;  ;;
132640;GMS;  ;;
133875;RKB;  ;;
133899;RKB;  ;;
134028;GMS;  ;;
134260;GMS;  ;;
134296;GMS;  ;;
134387;RKB;  ;;
134600;GMS;  ;;
135100;EVB;  ;;
135434;GMS;  ;;
135537;EVB;  ;;
135630;RKB;  ;;
136281;   ;EZ;;
136281;   ;SB;;
136281;   ;LB;;
136323;   ;LB;;
136323;   ;SB;;
136323;   ;EZ;;
136359;   ;LB;;
136359;   ;SB;;
136359;   ;EZ;;
136384;   ;LB;;
136384;   ;SB;;
136384;   ;EZ;;
136440;   ;LB;;
136440;   ;SB;;
136440;   ;EZ;;
136505;   ;LB;;
136505;   ;SB;;
136505;   ;EZ;;
136566;   ;LB;;
136566;   ;SB;;
136566;   ;EZ;;
136967;   ;LB;;
136967;   ;SB;;
136967;   ;EZ;;
136980;   ;LB;;
136980;   ;SB;;
136980;   ;EZ;;
137364;   ;LB;;
137364;   ;SB;;
137364;   ;EZ;;
137674;   ;LB;;
137674;   ;SB;;
137674;   ;EZ;;
137674;   ;GB;;
137674;   ;GH;;
137674;   ;SG;;
137716;   ;LB;;
137716;   ;SB;;
137716;   ;EZ;;
137728;   ;LB;;
137728;   ;SB;;
137728;   ;EZ;;
137807;   ;LB;;
137807;   ;SB;;
137807;   ;EZ;;
137947;   ;LB;;
137947;   ;SB;;
137947;   ;EZ;;
138344;   ;LB;;
138344;   ;SB;;
138344;   ;EZ;;
138368;   ;LB;;
138368;   ;SB;;
138368;   ;EZ;;
138393;   ;LB;;
138393;   ;SB;;
138393;   ;EZ;;
138629;   ;LB;;
138629;   ;SB;;
138629;   ;EZ;;
138680;   ;LB;;
138680;   ;SB;;
138680;   ;EZ;;
138708;   ;LB;;
138708;   ;SB;;
138708;   ;EZ;;
139166;   ;LB;;
139166;   ;SB;;
139166;   ;EZ;;
139518;   ;LB;;
