BKIndex;Flag;FKS;AP;BGrp;BFeld;Sortierung;Status;Beschreibung;Beschreibung_W;geaendert;Beschreibung_MW;BAKLALT;BAGRALT;BAKL;BAGR;Ebene1;Ebene2;Ebene3;Flag_APOBK
10;1;608;00;O;OH;10;********************;Süßwarentechnologe;Süßwarentechnologin;2015-04-15 11:11:40;Süßwarentechnologe/-technologin;**;****;*****;2926205;EH;**;A3;1
10;3;607;00;W;WV;10;Ausgelaufen;Kaufmann für Büromanagement;Kauffrau für Büromanagement;2020-04-02 21:36:58;Kaufmann/-frau für Büromanagement;**;****;*****;7140222;WV;**;A3;1
10;1;610;00;T;FT;10;********************;Land- und Baumaschinenmechatroniker;Land- und Baumaschinenmechatronikerin;2015-04-15 11:13:21;Land- und Baumaschinenmechatroniker/-in;**;****;*****;2522205;TN;**;A3;1
10;1;611;01;T;FT;10;********************;Zweiradmechatroniker - Fahrradtechnik;Zweiradmechatronikerin - Fahrradtechnik;2015-08-25 08:08:39;Zweiradmechatroniker/-in - Fahrradtechnik;**;****;*****;2525203;TN;**;A4;1
10;1;611;02;T;FT;10;********************;Zweiradmechatroniker - Motorradtechnik;Zweiradmechatronikerin - Motorradtechnik;2015-08-25 08:09:16;Zweiradmechatroniker/-in - Motorradtechnik;**;****;*****;2525204;TN;**;A4;1
10;1;886;00;T;MT;30;********************;Fachpraktiker für Zerspanungsmechanik;Fachpraktikerin für Zerspanungsmechanik;2016-08-18 13:13:47;Fachpraktiker/-in für Zerspanungsmechanik;**;****;*****;2423229;TN;**;MB;1
10;1;885;00;T;HT;30;********************;Fachpraktiker für Holzverarbeitung;Fachpraktikerin für Holzverarbeitung;2014-12-01 12:28:24;Fachpraktiker/-in für Holzverarbeitung;**;****;*****;2230217;TN;**;MB;1
210;1;148;20;W;WI;440;Schulversuch;FS Wirtschaft/Betriebswirtschaft - Gesundheitsökonomie und -management;FS Wirtschaft/Betriebswirtschaft - Gesundheitsökonomie und -management;2014-12-01 12:39:48;FS Wirtschaft/Betriebswirtschaft - Gesundheitsökonomie und -management;**;****;*****;7322302;WI;BW;GM;1
170;1;121;00;T;TC;360;********************;Allgemeine Hochschulreife / Ingenieurwissenschaften;Allgemeine Hochschulreife / Ingenieurwissenschaften;2019-04-25 10:22:24;Allgemeine Hochschulreife / Ingenieurwissenschaften;**;****;99;********;TE;**;IW;1
10;1;887;00;T;BT;30;********************;Fachpraktiker für Tiefbau;Fachpraktikerin für Tiefbau;2015-08-25 10:10:09;Fachpraktiker/-in für Tiefbau;**;****;*****;3222202;TN;**;MB;1
10;1;888;00;T;BT;30;********************;Fachpraktiker im Hochbau;Fachpraktikerin im Hochbau;2014-12-01 12:30:33;Fachpraktiker/-in im Hochbau;**;****;*****;3210211;TN;**;MB;1
60;3;151;01;S;SG;164;Ausgelaufen;Sozialassistent - Heilerziehung;Sozialassistentin - Heilerziehung;2020-04-30 12:19:47;Sozialassistent/-in - Heilerziehung;**;****;*****;8313101;**;**;**;3
60;3;150;01;E;EH;164;Ausgelaufen;Assistent für Ernährung und Versorgung - Service;Assistentin für Ernährung und Versorgung - Service;2020-04-30 12:19:46;Assistent/-in für Ernährung und Versorgung - Service;**;****;*****;8321102;**;**;**;3
60;3;151;00;S;SG;164;Ausgelaufen;Sozialassistent;Sozialassistentin;2020-04-30 12:19:48;Sozialassistent/-in;**;****;*****;8314205;**;**;**;3
100;1;133;01;E;EH;230;********************;Assistent für Ernährung und Versorgung - Technik;Assistentin für Ernährung und Versorgung - Technik;2014-12-01 12:37:57;Assistent/-in für Ernährung und Versorgung - Technik;**;****;*****;8321102;EH;**;**;1
100;1;117;05;W;WV;230;********************;Kaufmännischer Assistent - Betriebsinformatik;Kaufmännische Assistentin - Betriebsinformatik;2015-04-15 11:14:28;Kaufmännische/-r Assistent/-in - Betriebsinformatik;**;****;*****;4311206;WV;**;**;1
110;1;129;01;E;EH;250;********************;Assistent für Ernährung und Versorgung - Technik;Assistentin für Ernährung und Versorgung - Technik;2014-12-01 12:38:53;Assistent/-in für Ernährung und Versorgung - Technik;**;****;*****;8321102;EH;**;**;1
110;1;117;05;W;WV;250;********************;Kaufmännischer Assistent - Betriebsinformatik;Kaufmännische Assistentin - Betriebsinformatik;2015-04-15 11:14:46;Kaufmännische/-r Assistent/-in - Betriebsinformatik;**;****;*****;4311206;WV;**;**;1
210;1;126;00;T;TC;440;********************;FS Technik/Galvanotechnik;FS Technik/Galvanotechnik;2019-06-03 10:55:34;FS Technik/Galvanotechnik;**;****;*****;2430301;TE;GT;**;1
