Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
A;Arabisch;A;Arabisch;;3;BK,GE,GY,SB,SG,WB;;;;1;0;0;0;0;0;1;;
AB;Arbeits- und Betriebswirtschaftslehre;AB;Arbeits- und Betriebswirtschaftslehre;;2;BK,SB;;;;0;0;0;0;0;0;1;;
AG;Neigungs- und Projektgruppen;AG;Neigungs- und Projektgruppen;;;BK,SB;;;;0;0;0;0;0;0;1;;
AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;AH;Arbeitslehre -  Hauswirtschaft;;2;GE,GM,H,PS,SK,V,(R,H);;;;0;0;0;0;0;0;1;;
AL;Arbeitslehre;AL;Arbeitslehre;;2;GE,GM,PS,S,SG,SK;;;;0;0;0;0;0;0;1;;
AM;Unterricht in der Herkunftssprache - Arabisch;AM;Herkunftssprache - Arabisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
AR;Alevitische Religionslehre nach den Grundsätzen des AABF;AR;Alevitische Religionslehre;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
AT;Arbeitslehre - Schwerpunkt Technik;AT;Arbeitslehre - Schwerpunkt Technik;;2;GE,GM,H,PS,(R,H),SK,V;;;;0;0;0;0;0;0;1;;
AV;Arbeitsvorbereitung;AV;Arbeitsvorbereitung;;;BK,SB;;;;0;0;0;0;0;0;1;;
AW;Arbeitslehre - Schwerpunkt Wirtschaft;AW;Arbeitslehre - Schwerpunkt Wirtschaft;;2;GE,GM,H,PS,(R,H),SK,V;;;;0;0;0;0;0;0;1;;
AX;Arbeitslehre - Technik/Wirtschaft (nur Wahlpflichtunterricht);AX;Arbeitslehre – Technik/Wirtschaft;;2;GE,GM,PS,SK;;;;0;0;0;0;0;0;1;;
