SF;FSP;BG;Kursart;Kursart2;Bezeichnung;JgBereich;Flag;geaendert
BK;**;**;01;SWFB;Stützunterricht Wahlbereich - fachbezogen;0;1;
BK;**;**;02;SWFW;Stützunterricht Wahlbereich - fachübergreifend;0;1;
BK;**;**;03;FU;Stützunterricht Wahlbereich - Förderunterricht für ausländische u. ausgesiedelte Schüler;0;1;
BK;**;**;10;EWFA;Erweiterungsunterricht Wahlbereich - fach- und abschlußbezogen;0;1;
BK;**;**;11;EWF;Erweiterungsunterricht Wahlbereich - fach-, jedoch nicht abschlußbezogen;0;1;
BK;**;**;12;EWBF;Erweiterungsunterricht Wahlbereich - berufsbezogen, fachübergreifend;0;1;2008-05-07 14:14:25
BK;**;**;13;G;Grundkurs;2;1;
BK;**;**;16;E;Erweiterungskurs;2;1;
BK;**;**;21;VUW;Vertiefungsunterricht Wahlbereich - berufsfeld- / berufsbezogener fachpraxisorientierter Kurs;0;1;
BK;**;**;31;NPG;Neigungs- und Projektgruppe;0;1;
BK;**;**;41;EV;Ergänzungs- oder Vertiefungskurs;0;1;
BK;**;**;42;SF;Stütz- oder Förderkurs;0;1;
BK;**;**;44;SLP;Selbstlernphase;0;1;2010-01-11 09:43:29
BK;**;**;71;AB3;3. Abiturfach;0;1;2010-01-18 10:34:09
BK;**;**;71;AB4;4. Abiturfach;0;1;2010-01-18 10:34:39
BK;**;**;71;EFSP;Ersatzfach für Sport als 4. Abiturfach;0;1;2010-01-18 10:35:53
BK;**;**;71;GKM;Grundkurs mündlich;0;1;2010-01-18 10:36:13
BK;**;**;71;GKS;Grundkurs schriftlich;0;1;2010-01-18 10:33:02
BK;**;**;72;LK1;Leistungskurs I;0;1;2010-01-18 10:33:27
BK;**;**;72;LK2;Leistungskurs II;0;1;2010-01-18 10:35:22
BK;**;**;73;AGK;Angleichungskurs;0;1;2010-01-18 10:31:48
BK;**;**;76;ZK;Zusatzkurs;0;1;2010-01-18 10:37:41
BK;**;**;77;VTF;Vertiefungskurs;0;1;2010-01-18 10:31:02
BK;**;**;78;PJK;Projektkurs;0;1;2010-01-18 10:38:48
BK;**;**;99;PUK;Unterricht im Klassenverband;0;1;2010-01-11 09:45:10
FW;**;**;00;PUT;Pflichtunterricht sowie Unterricht im Wahlpflichtbereich;0;1;2010-01-11 09:09:38
FW;**;**;59;BSP;Begegnung mit Sprachen in der Primarstufe;0;1;2010-01-11 09:06:16
G;**;**;00;FUT;Förderunterricht für Teile von Klassen;0;1;
G;**;**;00;PUT;Pflichtunterricht für Teile von Klassen;1;1;
G;**;**;33;AST;Arbeitsstunde (Ganztagsbereich);2;1;
G;**;**;36;AGGT;Arbeitsgemeinschaft (Ganztagsbereich);3;1;
G;**;**;37;FOGT;Förderangebot (Ganztagsbereich);0;1;2006-05-10 09:25:19
G;**;**;81;SPFU;Sportförderunterricht;3;1;
G;**;**;82;LRS;Schüler mit isolierter Lese- und Rechtschreibschwäche (Legasthenikergruppe);3;1;
G;**;**;84;MEU;Muttersprachlicher Unterricht in Vorbereitungs- und Regelklassen;3;1;2010-01-11 09:16:36
G;**;**;85;FG;Fördergruppe für Schüler/-innen o. dt. Sprachkenntn., die keine Vorber.- bzw. Auffangklasse besuchen;3;1;
G;**;**;86;ZUF;zusätzlicher Förderunterricht im Fach Deutsch für Schülerinnen und Schüler in Regelklassen;3;1;2010-01-13 09:19:46
G;**;**;87;MAD;Maßnahmen äußerer Differenzierung in Klassen mit hohem Migrantenanteil;3;1;
G;**;**;89;FS;Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung);0;1;2019-04-23 15:20:22
G;**;**;90;FS;Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung);0;1;2019-04-23 15:22:53
G;**;**;99;FUK;Förderunterricht im Klassenverband;1;1;
G;**;**;99;HU;Hausunterricht;0;1;
G;**;**;99;PUK;Unterricht im Klassenverband;1;1;
G;**;**;99;ZUV;zusätzliche Unterrichtsveranstaltung (z.B. Schulchor);3;1;
GE;**;**;00;PUT;Bildung kleiner Gruppen / sonstige Gruppierungen;1;1;2010-01-11 09:09:53
GE;**;**;00;PUT;Bildung kleiner Gruppen/Sonstige Differenzierungen/Pflichtunterricht für Teile von Klassen/Wahlpflichtbereich;0;1;2012-07-09 16:37:07
GE;**;**;01;G;Sek I Fachleistungskurse: Grundkurs;2;1;
GE;**;**;02;E;Sek I Fachleistungskurse: Erweiterungskurs;2;1;
GE;**;**;04;FFU;Fachbezogener Förderunterricht;1;1;
GE;**;**;04;FFU;Fachbezogener Förderunterricht;0;1;2012-05-31 09:05:05
GE;**;**;05;FUF;Fachunabhängiger Förderunterricht;1;1;
GE;**;**;05;FUF;Fachunabhängiger Förderunterricht;0;1;2012-05-31 09:04:59
GE;**;**;10;WPI;Wahlpflichtbereich I;3;1;
GE;**;**;10;WPI;Wahlpflichtunterricht;0;1;2013-09-11 09:24:47
GE;**;**;13;G;Grundkurs (nur Bildungsgang Hauptschule auslaufend);0;1;2012-07-09 16:39:23
GE;**;**;16;E;Erweiterungskurs (nur Bildungsgang Hauptschule auslaufend);0;1;2012-07-09 16:39:25
GE;**;**;17;VSU;Förderunterricht (nur Bildungsgang Hauptschule auslaufend);0;1;2012-07-09 16:39:26
GE;**;**;20;WPII;Wahlpflichtbereich II;4;1;
GE;**;**;24;WPIIF;Wahlpflichtbereich II, fachbezogener Förderunterricht;4;1;
GE;**;**;26;WPU;Wahlpflichtunterricht (nur Bildungsgang Hauptschule auslaufend);0;1;2012-07-09 16:39:27
GE;**;**;29;WPF;Wahlpflichtfach (nur Bildungsgang Hauptschule auslaufend);0;1;2012-07-09 16:40:03
GE;**;**;33;AST;Arbeitsstunde;1;1;
GE;**;**;33;AST;Arbeits- bzw. Übungsstunde entsprechend § 9 Abs. 2, 3  SchulG;0;1;2012-07-09 17:15:04
GE;**;**;36;AGGT;Arbeitsgemeinschaft;8;1;
GE;**;**;36;AGGT;Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG;0;1;2012-05-31 11:10:31
GE;**;**;37;FOGT;Förderangebot (Ganztagsbereich);0;1;2006-05-10 09:25:30
GE;**;**;37;FOGT;Förderangebot entsprechend § 9 Abs. 2, 3  SchulG;0;1;2012-05-31 11:05:20
GE;**;**;55;PROJ;Profilklasse gem. § 21 Abs. 3 APO-SI;0;1;2020-05-22 15:30:07
GE;**;**;56;UMPF;Unterricht in der Muttersprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches;9;1;
GE;**;**;56;UMPF;Unterricht in der Muttersprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches (nicht im BG Hauptschule;0;1;
GE;**;**;61;WP1FS;Wahlpflichtbereich: Fremdsprachlich (nur im Bildungsgang Realschule auslaufend);0;1;
GE;**;**;61;WPIG;Nur Gymnasium: Wahlpflichtbereich I;0;1;
GE;**;**;62;WP1SW;Nur Gymnasium: Fächerkombination im math.-naturwiss., gesellschaftswiss. oder;0;1;
GE;**;**;62;WP1SW;Wahlpflichtbereich: Sozialwissenschaftlich (nur im Bildungsgang Realschule auslaufend);0;1;
GE;**;**;63;SPA;Nur Gymnasium: schwerpunktübergreifende Angebote;0;1;
GE;**;**;63;WP1NT;Wahlpflichtbereich: Naturwissenschaftlich (nur im Bildungsgang Realschule auslaufend);0;1;
GE;**;**;64;F3;Nur Gymnasium: 3-stündiges Fach im math.-naturwiss., gesellschaftswiss. oder künstlerischen Schwerpunkt;0;1;
GE;**;**;64;WP1MU;Wahlpflichtbereich: Musisch-künstlerisch (nur im Bildungsgang Realschule auslaufend);0;1;
